1,POINT (77.170867 28.715917),0,U01761,Adarsh Nagar / Bharola Village,28.715917000000001,77.170867000000001
2,POINT (77.191383 28.598533),1,DC4248,British High Comission,28.598533000000000,77.191383000000002
3,POINT (77.2084 28.6647),2,U02398,Azad Market,28.664700000000000,77.208399999999997
4,POINT (77.2097 28.5757),3,U02416,Kidwai Nagar,28.575700000000001,77.209699999999998
5,POINT (77.278667 28.6502),4,DC4271,Rashid Market,28.650200000000002,77.278666999999999
6,POINT (77.253883 28.56915),5,U03074,Nehru Nagar,28.569150000000000,77.253883000000002
7,POINT (77.2404 28.602217),6,U02904,Sunder Nagar,28.602217000000000,77.240399999999994
8,POINT (77.303517 28.661283),7,DC4225,Suraj Mal Vihar,28.661283000000001,77.303516999999999
9,POINT (77.2185 28.6147),8,U02563,National Archives,28.614699999999999,77.218500000000006
10,POINT (77.2404 28.6460833333333),9,U02922,Darya Ganj,28.646083333333301,77.240399999999994
11,POINT (77.0034 28.614667),10,U00314,Nangli Sakrawati,28.614667000000001,77.003399999999999
12,POINT (77.1625 28.68755),11,U01623,B-4 Keshav Puram,28.687550000000002,77.162499999999994
13,POINT (77.039067 28.801917),12,U99637,Bawana Village,28.801917000000000,77.039067000000003
14,POINT (76.947336 28.608213),13,U00086,Mitraon Village,28.608212999999999,76.947336000000007
15,POINT (77.300467 28.645667),14,U03518,Hargovind Enclave,28.645667000000000,77.300466999999998
16,POINT (76.977817 28.6115),15,U00193,NajafGarh Dhansa Stand,28.611499999999999,76.977817000000002
17,POINT (77.3162 28.61335),16,U03678,Super Bazar,28.613350000000001,77.316199999999995
18,POINT (77.08675 28.528867),17,U99639,Kapashera Crossing,28.528867000000002,77.086749999999995
19,POINT (77.2861 28.562317),18,U03409,Batla House,28.562317000000000,77.286100000000005
20,POINT (77.037 28.7315),19,U00429,Karala Village,28.731500000000000,77.037000000000006
21,POINT (77.08635 28.5893166666667),20,U00786,Manglapuri / Palam Village,28.589316666666701,77.086349999999996
22,POINT (77.238077 28.640024),21,U02926,Delhi Gate (JLN Marg),28.640024000000000,77.238077000000004
23,POINT (77.0893 28.6803),22,U00828,Udyog Nagar,28.680299999999999,77.089299999999994
24,POINT (77.173667 28.687017),23,U01798,Ashok Vihar Water Tank,28.687017000000001,77.173666999999995
25,POINT (77.103543 28.553099),24,DC4148,Centaur Hotel / New Custom House,28.553099000000000,77.103543000000002
26,POINT (77.118117 28.687467),25,DC3956,Bhagwan Mahavir Hospital,28.687467000000002,77.118116999999998
27,POINT (77.300033 28.502067),26,U03522,Badarpur Village,28.502067000000000,77.300032999999999
28,POINT (77.32735 28.6018),27,U03766,Mayur Vihar Phase 3 Crossing,28.601800000000001,77.327349999999996
29,POINT (77.043018 28.657906),28,DC4394,Ranhola Extension,28.657906000000001,77.043018000000004
30,POINT (77.1367166666667 28.613),29,NS0252,COD Ring Road,28.613000000000000,77.136716666666700
31,POINT (77.140696 28.685237),30,DC4294,Samrat Enclave,28.685237000000001,77.140696000000005
32,POINT (77.088567 28.853365),31,DC4540,P S Narela,28.853365000000000,77.088566999999998
33,POINT (76.962633 28.788083),32,DC4686,Jatt Khor Crossing,28.788083000000000,76.962632999999997
34,POINT (77.225091 28.668342),33,U02690,ISBT Nityanand Marg,28.668341999999999,77.225091000000006
35,POINT (77.25785 28.716733),34,DC4663,CRPF Camp,28.716733000000001,77.257850000000005
36,POINT (77.306183 28.69905),35,U03580,Nand Nagari Depot,28.699050000000000,77.306183000000004
37,POINT (77.0319 28.7316),36,DC0008,Karala Crossing,28.731600000000000,77.031899999999993
38,POINT (77.108859 28.64192),37,U01038,Subhash Nagar Crossing / Mukherji Park,28.641919999999999,77.108858999999995
39,POINT (77.126333 28.726783),38,DC3814,ESI Hospital,28.726783000000001,77.126333000000002
40,POINT (77.113467 28.71645),39,U01075,Rohini Depot 1 Sec 6,28.716449999999998,77.113467000000000
41,POINT (77.0021 28.5613),40,U00305,Chhawla Village,28.561299999999999,77.002099999999999
42,POINT (77.2214 28.5604),41,U02615,Ayurvigyan Nagar,28.560400000000001,77.221400000000003
43,POINT (77.079183 28.619633),42,DC3691,A-3 Janak Puri,28.619633000000000,77.079183000000000
44,POINT (77.035917 28.682267),43,U00430,Mundka Xing,28.682267000000000,77.035916999999998
45,POINT (77.129233 28.794767),44,U01237,Dena Apartments,28.794767000000000,77.129232999999999
46,POINT (77.2023166666667 28.6842333333333),45,U02162,Roop Nagar,28.684233333333299,77.202316666666704
47,POINT (77.3175 28.6763),46,U03695,Jhilmil Xing,28.676300000000001,77.317499999999995
48,POINT (77.213617 28.543183),47,U02486,Panchsheel Club,28.543182999999999,77.213616999999999
49,POINT (77.04875 28.661717),48,DC4371,Rishal Garden,28.661716999999999,77.048749999999998
50,POINT (77.1846 28.657113),49,U01934,Anand Parvat Terminal,28.657112999999999,77.184600000000003
51,POINT (77.275017 28.68345),50,DC3979,Zafrabad School,28.683450000000001,77.275017000000005
52,POINT (77.1689 28.7033),51,U01725,Shalimar Bagh (Ring Road),28.703299999999999,77.168899999999994
53,POINT (77.22279 28.707127),52,DC3777,Balak Ram Hospital,28.707127000000000,77.222790000000003
54,POINT (77.2159 28.5294),53,U02525,Hauz Rani,28.529399999999999,77.215900000000005
55,POINT (77.2267 28.6429),54,U02714,PS Kamla Market,28.642900000000001,77.226699999999994
56,POINT (77.2212666666667 28.7012333333333),55,U02599,Timarpur,28.701233333333299,77.221266666666693
57,POINT (77.001912 28.561492),56,U00304,Chhawla Village,28.561492000000001,77.001912000000004
